src_url,vcs,name,web_url,description
https://github.com/vuejs/vue,git,Vue.js,https://vuejs.org/,"A progressive, incrementally-adoptable JavaScript framework for building UI on the web. "
https://github.com/jquery/jquery,git,jquery/jquery,https://jquery.com,"A JavaScript library designed to simplify HTML DOM tree traversal and manipulation, as well as event handling, CSS animation, and Ajax."
https://github.com/alvarotrigo/fullPage.js,git,alvarotrigo/fullPage.js,https://alvarotrigo.com/fullPage/,"Is designed to be easy to use and customize. It includes both commtens of examples, great documentation and unity and personal support."
https://github.com/videojs/video.js,git,videojs/video.js,https://videojs.com,"Make your player yours with the internet's most popular open source video player framework."
https://github.com/Leaflet/Leaflet,git,Leaflet/Leaflet,https://leafletjs.com,"Leaflet is the leading open-source JavaScript library for mobile-friendly interactive maps."
https://github.com/Modernizr/Modernizr,git,Modernizr/Modernizr,https://modernizr.com,"Modernizr is a small piece of JavaScript code that automatically detects the availability of next-generation web technologies in your user's browsers."
https://github.com/vuejs/vuex,git,vuejs/vuex,https://vuejs.org,"Vue.js is an open-source Model–view–viewmodel JavaScript framework for building user interfaces and single-page applications."
https://github.com/emberjs/ember.js,git,emberjs/ember.js,https://emberjs.com,"Ember.js helps developers be more productive out of the box. Designed with developer ergonomics in mind, its friendly APIs help you get your job done—fast."
https://github.com/fabricjs/fabric.js,git,fabricjs/fabric.js,fabricjs.com,"Fabric.js is a powerful and simple. Javascript HTML5 canvas library. Fabric provides interactive object model on top of canvas element."
https://github.com/riot/riot,git,riot/riot,https://riot.js.org/,"Simple and elegant component-based UI library."
https://github.com/jsdom/jsdom,git,jsdom/jsdom,https://github.com/jsdom/jsdom,"A JavaScript implementation of various web standards, for use with Node.js."
https://github.com/pouchdb/pouchdb,git,pouchdb/pouchdb,https://pouchdb.com,"The Database that Syncs! PouchDB is an open-source JavaScript database inspired by Apache CouchDB that is designed to run well within the browser."
https://github.com/jquery/jquery-ui,git,jquery/jquery-ui,https://jqueryui.com,"jQuery UI is a curated set of user interface interactions, effects, widgets, and themes built on top of the jQuery JavaScript Library."
https://github.com/vuematerial/vue-material,git,vuematerial/vue-material,https://vuematerial.io,"Vuetify is a Material Design component framework for Vue.js."
https://github.com/telerik/kendo-ui-core,git,Kendo UI,https://www.telerik.com/kendo-ui,"An HTML5, jQuery-based widget library for building modern web apps."
https://github.com/dart-lang/angular,git,AngularDart,https://pub.dev/packages/angular,"AngularDart is a productive web application framework that powers some of Google's most critical applications. It's built on Dart and used extensively by Google AdWords, AdSense, Fiber, and many more projects."
https://github.com/jashkenas/backbone,git,Backbone.js,https://backbonejs.org/,"Backbone.js gives structure to web applications by providing models with key-value binding and custom events, collections with a rich API of enumerable functions, views with declarative event handling, and connects it all to your existing API over a RESTful JSON interface."
