src_url,vcs,name,web_url,description
https://github.com/bitcoin/bitcoin,git,Bitcoin Core,https://bitcoincore.org,"Bitcoin is an experimental digital currency that enables instant payments to anyone, anywhere in the world. Bitcoin uses peer-to-peer technology to operate with no central authority: managing transactions and issuing money are carried out collectively by the network."
https://github.com/ethereum/go-ethereum,git,Go Ethereum,https://geth.ethereum.org/,"Official Golang implementation of the Ethereum protocol."
https://github.com/ccxt/ccxt,git,CCXT,,"A JavaScript / Python / PHP library for cryptocurrency trading and e-commerce with support for many bitcoin/ether/altcoin exchange markets and merchant APIs."
https://github.com/EOSIO/eos,git,EOSIO,https://developers.eos.io/,"EOSIO is a free, open-source blockchain software protocol that provides developers and entrepreneurs with a platform on which to build, deploy and run high-performing blockchain applications."
https://github.com/hyperledger/fabric,git,Hyperledger Fabric,https://www.hyperledger.org/projects/fabric,"Hyperledger Fabric is an enterprise-grade permissioned distributed ledger framework for developing solutions and applications."
https://github.com/ethereum/web3.js,git,web3.js,https://web3js.readthedocs.io/,"web3.js is a collection of libraries which allow you to interact with a local or remote ethereum node, using a HTTP or IPC connection."
https://github.com/trufflesuite/truffle,git,Truffle,https://www.trufflesuite.com/,"Truffle is a development environment, testing framework and asset pipeline for Ethereum, aiming to make life as an Ethereum developer easier."
https://github.com/ethereum/solidity,git,Solidity,https://solidity.readthedocs.io/,"Solidity is a statically typed, contract-oriented, high-level language for implementing smart contracts on the Ethereum platform."
https://github.com/paritytech/parity-ethereum,git,Parity Ethereum,https://parity.io/,"The fast, light, and robust EVM and WASM client."
https://github.com/lightningnetwork/lnd,git,lnd,https://lightning.network/,"The Lightning Network Daemon (lnd) - is a complete implementation of a Lightning Network node. lnd has several pluggable back-end chain services including btcd (a full-node), bitcoind, and neutrino (a new experimental light client). The project's codebase uses the btcsuite set of Bitcoin libraries, and also exports a large set of isolated re-usable Lightning Network related libraries within it."
https://github.com/zcash/zcash,git,Zcash,https://z.cash/,"Zcash is an implementation of the "Zerocash" protocol. Based on Bitcoin's code, Zcash intends to offer a far higher standard of privacy through a sophisticated zero-knowledge proving scheme that preserves confidentiality of transaction metadata."
https://github.com/spesmilo/electrum,git,Electrum,https://electrum.org/,"Electrum Bitcoin Wallet."
https://github.com/ethereum/aleth,git,Aleth,,"The collection of C++ libraries and tools for Ethereum, formerly known as cpp-ethereum project. This includes the full Ethereum client Aleth."
https://github.com/MetaMask/metamask-extension,git,MetaMask,https://metamask.io/,"The MetaMask browser extension enables browsing Ethereum blockchain enabled websites."
https://github.com/bitpay/bitcore,git,bitcore,https://bitcore.io/,"Infrastructure to build Bitcoin and blockchain-based applications for the next generation of financial technology."
https://github.com/ethereum-mining/ethminer,git,Ethminer,,"Ethereum miner with OpenCL, CUDA and stratum support"
https://github.com/ripple/rippled,git,rippled,https://ripple.com/xrp,"Decentralized cryptocurrency blockchain daemon implementing the XRP Ledger in C++."
https://github.com/bitpay/copay,git,Copay,http://copay.io/,"Copay is a secure Bitcoin and Bitcoin Cash wallet platform for both desktop and mobile devices."
https://github.com/tendermint/tendermint,git,Tendermint Core,https://tendermint.com/,"Byzantine Fault Tolerant (BFT) middleware that takes a state transition machine - written in any programming language - and securely replicates it on many machines."
https://github.com/bisq-network/bisq,git,Bisq,https://bisq.network/,"An open-source, peer-to-peer application that allows you to buy and sell cryptocurrencies in exchange for national currencies. No registration required."
https://github.com/jpmorganchase/quorum,git,Quorum,https://www.goquorum.com/,"An Ethereum-based distributed ledger protocol with transaction/contract privacy and new consensus mechanisms."
https://github.com/bitcoinj/bitcoinj,git,bitcoinj,https://bitcoinj.github.io/,"A library for working with the Bitcoin protocol."
